ImageID,ans
cbc5c6e168e63498590db46022617123f1fe1268.jpg,[3.5582366e-04 9.9656612e-01 3.0780556e-03]
0e72482bf56b3581c081f7da2a6180b8792c7089.jpg,[0.00106448 0.03715917 0.9617764 ]
b549040c49190cedc41327748aeb197c1670f14d.jpg,[3.9108429e-04 9.9937207e-01 2.3684805e-04]
4f9cb2a045c6d5b9e50ad3459ea7b791eb6e18bc.jpg,[0.00193245 0.9951029  0.00296462]
248428d9a4a5b6229a7081c32851b90cb8d38d0c.jpg,[9.99986649e-01 1.29251775e-05 4.44999074e-07]
7953c2e6e983bad91b89a0e4ad7eb69e6e43e56b.jpg,[9.9989355e-01 6.6568275e-05 3.9934963e-05]
1903db7dcc1262d0441677afa422e6a8371e5b37.jpg,[7.6717150e-04 7.5911121e-03 9.9164164e-01]
441419a874f4d031cd576850b68539ca7d35bedf.jpg,[6.6200312e-07 9.9999928e-01 1.0737252e-07]
388856cd1ef99b1918273a827a75f2aff2478321.jpg,[1.4382160e-05 1.4771746e-03 9.9850839e-01]
795ba8ccc769a3f9da6a897f75df6706b729345b.jpg,[9.9999142e-01 4.5160896e-06 4.0847740e-06]
9028e8c54f80096bf4e43390caf003f64c90e5ce.jpg,[1.8189028e-06 9.9998510e-01 1.3130089e-05]
78900cfc8a2bb5cb69c60bdef92b173a8a48c8ec.jpg,[9.9996102e-01 8.7086109e-06 3.0309546e-05]
cba23bf8b02a8ddc470db8799fef62220819737e.jpg,[9.9999797e-01 8.1103553e-07 1.2047136e-06]
d3921eae9f9a45d89f0bd1ea0e71354178481245.jpg,[9.999850e-01 6.229019e-06 8.839689e-06]
4d796a1ccf67a49c465e2b6b79a2caf8228adbca.jpg,[9.9999940e-01 2.3693060e-07 3.1115619e-07]
69ad31adcc3e6e8de7af886e970233fa61699045.jpg,[1.2150892e-07 9.9999869e-01 1.1725715e-06]
b1b1aa65544324d9ebc89b3deb4a714f4d1d7ea3.jpg,[0.0087281  0.01095533 0.9803166 ]
6aa8e1282c5303e18101e3dede784dd1f5c076a0.jpg,[5.4734861e-05 9.9218905e-01 7.7562863e-03]
7665a0a126eec039d2c8baf9c6eedc004738c128.jpg,[1.5335882e-04 9.9979395e-01 5.2653184e-05]
91598d7dad0122459e004ecd8a4e745acbd63101.jpg,[4.7943295e-06 9.9998927e-01 5.9061426e-06]
d352bb22eca23e75e710b427ae831a867dd37bfb.jpg,[9.9989200e-01 6.1233368e-05 4.6692105e-05]
0401671e6a939afe97d6c30bc820fbfe9519286a.jpg,[0.00352364 0.9861925  0.01028386]
6ed93c0c3aa7ca9f0bb7e6b53a99aaa0a3609d50.jpg,[3.5296680e-04 7.8607363e-01 2.1357347e-01]
50dda278ed4e5c43ab5a99592808f11027afa240.jpg,[9.9997842e-01 1.3094414e-05 8.4827689e-06]
5ca8adbab5a39b3c7e725782f98d199202c589dc.jpg,[0.02290731 0.0016914  0.9754013 ]
a945a8c50f05708c42839692219bd1963672154a.jpg,[9.9175668e-01 7.6154624e-03 6.2790670e-04]
359acb7465396d70b6957be3a4cd503a7aa8b5de.jpg,[1.49225662e-06 9.99877095e-01 1.21375626e-04]
b188cd918519b3dc486ec7a0b04d268f6f262021.jpg,[1.01763835e-04 4.87342011e-03 9.95024741e-01]
0abc5c0454095bf4519bd5c1fcbc0924fbce65d2.jpg,[7.2767620e-04 2.2522368e-02 9.7674996e-01]
14e53aafa9cc2e32f1dc10b83c5183488e0cb080.jpg,[9.9998534e-01 6.7104497e-06 8.0455002e-06]
27aaee870ff9b03c23d6b9f163aba027a06032c6.jpg,[9.9997020e-01 5.9554291e-06 2.3895642e-05]
fa025619390a5097dafb1fe3601dc6dec4644bce.jpg,[7.2082648e-06 9.9888116e-01 1.1116221e-03]
c9ba7099501f4088602606671dd71fd76a2adee5.jpg,[9.9994516e-01 2.3595903e-05 3.1239699e-05]
4702037fc73744daef1a4a6253895886f86808b8.jpg,[2.2575787e-04 9.9742562e-01 2.3486482e-03]
e7d4a815cbf2dd60aaf5f764be67f656cf7e5b19.jpg,[3.7489667e-06 1.3046746e-06 9.9999499e-01]
c9649b4efc18ea0e1d6e16bd23cb8ccddfaf0d0b.jpg,[9.9851817e-01 1.2472402e-03 2.3465323e-04]
0906805463eda250aedc1c43e4db25075c1244be.jpg,[9.9998915e-01 6.7077303e-06 4.1132976e-06]
acfb5e9c18ede13e4cdc7da0a15db777a490d782.jpg,[1.2567661e-04 9.9983656e-01 3.7779468e-05]
d67f11372df1ff081aa8437da1acf73419a85782.jpg,[0.0031701  0.9900732  0.00675665]
53599d652f6253baa02940b895620f147a2327f7.jpg,[9.9996483e-01 1.7778360e-05 1.7368744e-05]
c4b59a685cbb0bf9a275f6f757e509eb47e3b97b.jpg,[1.5828797e-05 2.4434194e-05 9.9995971e-01]
0da2dac9da3f797adfbdeaed999d54935a0a1020.jpg,[9.5353484e-05 9.9805790e-01 1.8467479e-03]
