ImageID,ans
cbc5c6e168e63498590db46022617123f1fe1268.jpg,[1.1782262e-05 9.9996543e-01 2.2824181e-05]
0e72482bf56b3581c081f7da2a6180b8792c7089.jpg,[3.1741231e-04 7.3129535e-03 9.9236965e-01]
b549040c49190cedc41327748aeb197c1670f14d.jpg,[5.5449846e-06 9.9999297e-01 1.4379914e-06]
4f9cb2a045c6d5b9e50ad3459ea7b791eb6e18bc.jpg,[5.343261e-05 9.999373e-01 9.246835e-06]
248428d9a4a5b6229a7081c32851b90cb8d38d0c.jpg,[1.0000000e+00 6.1562035e-09 1.0720025e-08]
7953c2e6e983bad91b89a0e4ad7eb69e6e43e56b.jpg,[9.9999964e-01 6.6553902e-08 1.9639563e-07]
1903db7dcc1262d0441677afa422e6a8371e5b37.jpg,[8.1853848e-04 9.9840206e-01 7.7940675e-04]
441419a874f4d031cd576850b68539ca7d35bedf.jpg,[2.2474825e-07 9.9999976e-01 1.0825366e-08]
388856cd1ef99b1918273a827a75f2aff2478321.jpg,[4.2953207e-06 9.9945480e-01 5.4087437e-04]
795ba8ccc769a3f9da6a897f75df6706b729345b.jpg,[9.9997759e-01 1.8970981e-05 3.4005573e-06]
9028e8c54f80096bf4e43390caf003f64c90e5ce.jpg,[5.9018208e-07 9.9996161e-01 3.7815447e-05]
78900cfc8a2bb5cb69c60bdef92b173a8a48c8ec.jpg,[9.999981e-01 1.045502e-06 8.489908e-07]
cba23bf8b02a8ddc470db8799fef62220819737e.jpg,[1.0000000e+00 2.3146267e-08 3.3844270e-08]
d3921eae9f9a45d89f0bd1ea0e71354178481245.jpg,[9.9999833e-01 1.1249297e-06 5.5542847e-07]
4d796a1ccf67a49c465e2b6b79a2caf8228adbca.jpg,[1.0000000e+00 2.3707010e-08 3.0053414e-08]
69ad31adcc3e6e8de7af886e970233fa61699045.jpg,[2.1658131e-09 1.0000000e+00 2.1615378e-09]
b1b1aa65544324d9ebc89b3deb4a714f4d1d7ea3.jpg,[2.3507755e-05 9.8918354e-06 9.9996662e-01]
6aa8e1282c5303e18101e3dede784dd1f5c076a0.jpg,[1.3833602e-06 9.9989915e-01 9.9471457e-05]
7665a0a126eec039d2c8baf9c6eedc004738c128.jpg,[1.6243332e-05 9.9998283e-01 9.0857156e-07]
91598d7dad0122459e004ecd8a4e745acbd63101.jpg,[7.0723956e-08 9.9999988e-01 1.0376874e-08]
d352bb22eca23e75e710b427ae831a867dd37bfb.jpg,[9.9999976e-01 1.0575591e-07 1.0134758e-07]
0401671e6a939afe97d6c30bc820fbfe9519286a.jpg,[0.00624038 0.9428715  0.0508881 ]
6ed93c0c3aa7ca9f0bb7e6b53a99aaa0a3609d50.jpg,[0.02600856 0.00150302 0.9724884 ]
50dda278ed4e5c43ab5a99592808f11027afa240.jpg,[9.9999976e-01 1.4661961e-07 1.6616872e-07]
5ca8adbab5a39b3c7e725782f98d199202c589dc.jpg,[0.01863499 0.44907415 0.5322909 ]
a945a8c50f05708c42839692219bd1963672154a.jpg,[9.9999857e-01 8.9178241e-07 6.0701637e-07]
359acb7465396d70b6957be3a4cd503a7aa8b5de.jpg,[4.4233366e-05 9.9990869e-01 4.7097936e-05]
b188cd918519b3dc486ec7a0b04d268f6f262021.jpg,[4.1237927e-05 5.2136733e-05 9.9990666e-01]
0abc5c0454095bf4519bd5c1fcbc0924fbce65d2.jpg,[2.3759832e-04 3.8971152e-06 9.9975842e-01]
14e53aafa9cc2e32f1dc10b83c5183488e0cb080.jpg,[9.9999964e-01 2.2118364e-07 1.2353415e-07]
27aaee870ff9b03c23d6b9f163aba027a06032c6.jpg,[9.9999821e-01 7.3618941e-07 1.0520073e-06]
